"latlon_1","latlon_2","minutes","metres"
"52.204932,0.127807","52.204654,0.13277",7,576
"52.204932,0.127807","52.213738,0.124159",15.1,1243
"52.204932,0.127807","52.199286,0.139698",14,1133
"52.198334,0.142623","52.193371,0.133181",15.8,1300
"52.198334,0.142623","52.21817,0.146081",33,2753
"52.198334,0.142623","52.230666,0.138805",54.4,4426
"52.198334,0.142623","52.207309,0.124159",21.3,1774
"52.198334,0.142623","52.200288,0.14001",4.5,373
"52.198334,0.142623","52.198979,0.134796",8.6,704
"52.198334,0.142623","52.174445,0.111068",49.2,4036
"52.198334,0.142623","52.21381,0.127675",32.7,2685
"52.198334,0.142623","52.196295,0.125083",18.9,1568
"52.198334,0.142623","52.210223,0.115604",30.1,2498
"52.198334,0.142623","52.200195,0.126718",17.3,1426
"52.198334,0.142623","52.196903,0.107245",35,2845
"52.198334,0.142623","52.186903,0.171259",36,2977
"52.198334,0.142623","52.198688,0.135513",8.2,672
"52.198334,0.142623","52.213078,0.112826",35.8,2901
"52.198334,0.142623","52.200132,0.134222",8.7,716
"52.198334,0.142623","52.207484,0.125924",21.1,1758
"52.198334,0.142623","52.19617,0.126028",18.5,1541
"52.198334,0.142623","52.202093,0.116213",25.8,2140
"52.198334,0.142623","52.201027,0.125982",16.9,1398
"52.198334,0.142623","52.204605,0.137934",11.4,949
"52.198334,0.142623","52.196092,0.155114",10.6,899
"52.198334,0.142623","52.208346,0.133488",20.7,1693
"52.198334,0.142623","52.202987,0.138925",12.4,1026
"52.198334,0.142623","52.207449,0.122878",22.4,1864
"52.198334,0.142623","52.221817,0.118453",47,3816
"52.198334,0.142623","52.215658,0.116916",38.1,3094
"52.198334,0.142623","52.20279,0.123446",21,1721
"52.198334,0.142623","52.210305,0.144955",25.5,2103
"52.198334,0.142623","52.212441,0.112782",34.5,2807
"52.198334,0.142623","52.204852,0.1402",10.9,906
"52.198334,0.142623","52.2047,0.133197",13.7,1139
"52.198334,0.142623","52.204115,0.11827",24.3,2005
"52.198334,0.142623","52.205447,0.128666",16.7,1386
"52.198334,0.142623","52.197151,0.12947",14.5,1202
"52.198334,0.142623","52.200312,0.148074",7.5,620
"52.198334,0.142623","52.194151,0.131287",16.4,1348
"52.198334,0.142623","52.20174,0.124801",16.5,1348
"52.198334,0.142623","52.202564,0.141934",8.9,743
"52.198334,0.142623","52.2281,0.145945",50.3,4095
"52.198334,0.142623","52.200081,0.113542",30,2489
"52.198334,0.142623","52.215347,0.110694",39.6,3195
"52.198334,0.142623","52.19519,0.131527",14.5,1198
"52.198334,0.142623","52.175104,0.112942",47.6,3907
"52.198334,0.142623","52.209395,0.118653",28.4,2356
"52.198334,0.142623","52.207357,0.129475",19.8,1653
"52.198334,0.142623","52.188419,0.152841",21.6,1813
"52.198334,0.142623","52.201476,0.116505",25.1,2086
"52.198334,0.142623","52.222428,0.135906",39.6,3208
"52.198334,0.142623","52.209025,0.118255",27.8,2308
"52.198334,0.142623","52.214511,0.124679",30.8,2531
"52.198334,0.142623","52.210943,0.112564",33.3,2752
"52.198334,0.142623","52.188744,0.138899",14.2,1158
"52.198334,0.142623","52.187377,0.147348",19.6,1637
"52.198334,0.142623","52.229653,0.127701",51.6,4187
"52.198334,0.142623","52.205707,0.134211",15.8,1295
"52.198334,0.142623","52.197912,0.123667",19.5,1610
"52.198334,0.142623","52.204654,0.13277",15.7,1303
"52.198334,0.142623","52.213738,0.124159",31.1,2567
"52.198334,0.142623","52.199286,0.139698",3,238
"52.193371,0.133181","52.21817,0.146081",42.6,3527
"52.193371,0.133181","52.230666,0.138805",62.4,5070
"52.193371,0.133181","52.207309,0.124159",22.2,1844
"52.193371,0.133181","52.200288,0.14001",14.3,1186
"52.193371,0.133181","52.198979,0.134796",11.1,916
"52.193371,0.133181","52.174445,0.111068",36,2960
"52.193371,0.133181","52.21381,0.127675",34.7,2836
"52.193371,0.133181","52.196295,0.125083",9.7,811
"52.193371,0.133181","52.210223,0.115604",27.2,2264
"52.193371,0.133181","52.200195,0.126718",10.9,894
"52.193371,0.133181","52.196903,0.107245",26.1,2166
"52.193371,0.133181","52.186903,0.171259",42,3430
"52.193371,0.133181","52.198688,0.135513",10.2,845
"52.193371,0.133181","52.213078,0.112826",33,2668
"52.193371,0.133181","52.200132,0.134222",12.1,996
"52.193371,0.133181","52.207484,0.125924",22.1,1843
"52.193371,0.133181","52.19617,0.126028",8.6,724
"52.193371,0.133181","52.202093,0.116213",22.7,1868
"52.193371,0.133181","52.201027,0.125982",12.2,1000
"52.193371,0.133181","52.204605,0.137934",19.7,1643
"52.193371,0.133181","52.196092,0.155114",25.6,2142
"52.193371,0.133181","52.208346,0.133488",24.9,2041
"52.193371,0.133181","52.202987,0.138925",18.9,1573
"52.193371,0.133181","52.207449,0.122878",22.6,1878
"52.193371,0.133181","52.221817,0.118453",49.5,4016
